Date,Open,High,Low,Close,Adj Close,Volume
2020-03-03,3550.0,3675.0,3512.5,3600.0,3007.605712890625,96445200
2020-03-04,3625.0,3750.0,3612.5,3737.5,3122.4794921875,92555400
2020-03-05,3775.0,3825.0,3750.0,3800.0,3174.695068359375,104748600
2020-03-06,3700.0,3700.0,3612.5,3625.0,3028.491943359375,72311200
2020-03-09,3500.0,3500.0,3287.5,3287.5,2746.52880859375,113132400
2020-03-10,3325.0,3500.0,3325.0,3437.5,2871.845703125,114052000
2020-03-11,3462.5,3525.0,3312.5,3412.5,2850.959716796875,97168800
2020-03-12,3237.5,3337.5,3112.5,3212.5,2683.870361328125,91578200
2020-03-13,3100.0,3237.5,3000.0,3175.0,2652.541015625,238623800
2020-03-16,3175.0,3175.0,3175.0,3175.0,2652.541015625,0
2020-03-17,2962.5,2962.5,2762.5,2762.5,2307.919677734375,186380400
2020-03-18,2800.0,2825.0,2575.0,2575.0,2151.273681640625,215103400
2020-03-19,2500.0,2500.0,2395.0,2395.0,2000.8935546875,167876200
2020-03-20,2370.0,2370.0,2230.0,2230.0,1863.044677734375,478236600
2020-03-23,2175.0,2175.0,2075.0,2075.0,1733.550537109375,59985800
2020-03-24,2075.0,2115.0,1930.0,1930.0,1612.4110107421875,237296200
2020-03-26,1900.0,2290.0,1890.0,2235.0,1867.221923828125,386557200
2020-03-27,2255.0,2612.5,2250.0,2470.0,2063.552001953125,396812000
2020-03-30,2420.0,2420.0,2300.0,2300.0,1921.5260009765625,39766600
2020-03-31,2325.0,2410.0,2225.0,2340.0,1954.94384765625,208047600
2020-04-01,2325.0,2440.0,2220.0,2305.0,1925.7032470703125,152367000
2020-04-02,2285.0,2375.0,2180.0,2375.0,1984.1842041015625,132225200
2020-04-03,2400.0,2512.5,2400.0,2512.5,2099.05810546875,105225600
2020-04-06,2512.5,2612.5,2450.0,2600.0,2172.15966796875,113980400
2020-04-07,2700.0,2800.0,2485.0,2562.5,2140.83056640625,191464600
2020-04-08,2587.5,2587.5,2385.0,2385.0,1992.5386962890625,155834800
2020-04-09,2400.0,2450.0,2305.0,2335.0,1950.7667236328125,163570800
2020-04-13,2340.0,2340.0,2235.0,2235.0,1867.221923828125,115331000
2020-04-14,2240.0,2320.0,2200.0,2285.0,1908.994384765625,132848000
2020-04-15,2320.0,2345.0,2200.0,2200.0,1837.981201171875,124661000
2020-04-16,2200.0,2200.0,2075.0,2105.0,1758.614013671875,215224000
2020-04-17,2110.0,2210.0,2110.0,2190.0,1829.6268310546875,163407600
2020-04-20,2225.0,2265.0,2135.0,2185.0,1825.44970703125,120672000
2020-04-21,2185.0,2205.0,2125.0,2175.0,1817.0953369140625,92203200
2020-04-22,2165.0,2250.0,2125.0,2245.0,1875.5765380859375,126786800
2020-04-23,2245.0,2285.0,2240.0,2250.0,1879.753662109375,115336400
2020-04-24,2250.0,2250.0,2140.0,2140.0,1787.8544921875,131631400
2020-04-27,2155.0,2175.0,2045.0,2075.0,1733.550537109375,205382600
2020-04-28,2095.0,2120.0,2035.0,2075.0,1733.550537109375,157370600
2020-04-29,2100.0,2110.0,2000.0,2000.0,1670.8922119140625,192650200
2020-04-30,2035.0,2240.0,2030.0,2230.0,1863.044677734375,229509600
2020-05-04,2230.0,2230.0,2120.0,2145.0,1792.03173828125,80572600
2020-05-05,2150.0,2200.0,2080.0,2110.0,1762.7911376953125,185282400
2020-05-06,2125.0,2130.0,2080.0,2080.0,1737.7279052734375,138733000
2020-05-08,2100.0,2155.0,2090.0,2100.0,1754.4366455078125,127482200
2020-05-11,2140.0,2140.0,2095.0,2115.0,1766.9683837890625,83552200
2020-05-12,2115.0,2115.0,2000.0,2005.0,1675.0693359375,188578000
2020-05-13,1995.0,2025.0,1950.0,2005.0,1675.0693359375,134821600
2020-05-14,1985.0,2005.0,1950.0,1975.0,1650.0059814453125,141388800
2020-05-15,1975.0,1995.0,1840.0,1880.0,1570.6385498046875,227234200
2020-05-18,1900.0,1900.0,1830.0,1860.0,1553.9298095703125,158710600
2020-05-19,1880.0,2000.0,1880.0,1930.0,1612.4110107421875,199655000
2020-05-20,1925.0,2060.0,1915.0,2035.0,1700.1326904296875,237644400
2020-05-26,2065.0,2080.0,2030.0,2050.0,1712.6644287109375,180545000
2020-05-27,2075.0,2100.0,2005.0,2055.0,1716.8416748046875,124329600
2020-05-28,2075.0,2170.0,2075.0,2145.0,1792.03173828125,265460200
